IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
2606:4700:13d:4105:ef79:ef0f:8bdf:cff4,228,259,239,0
2606:4700:311f:4ee7:7403:f8ae:1863:cb66,216,261,239,0
2a06:98c1:50:419e:104f:715:b0bd:e3f7,219,258,240,0
2606:4700:3110:c733:a124:91e7:2f37:1d39,229,270,240,0
2606:4700:300a:564a:1bb9:6be7:5e91:1af5,234,258,241,0
2606:4700:10:96cc:3908:8fd6:73ad:d271,217,271,242,0
2606:4700:3025:3d51:4cb6:249f:e7b1:3bca,217,284,242,0
2606:4700:3016:eb3d:ae17:87a6:1ae7:99e3,229,258,242,0
2606:4700:56:3174:c78e:f6ad:9952:e5f0,216,281,242,0
2606:4700:5:9edb:835d:7b1:b2a4:3350,216,284,242,0
2606:4700:3108:d800:9cab:ff6:5b1:a2b9,220,284,242,0
2606:4700:440e:83fe:5c6d:1eae:c86f:aa11,216,289,242,0
2606:4700:5b:a43:8091:52a8:ab6e:497f,217,284,243,0
2606:4700:3056:329f:42dc:c862:9e01:2f49,223,284,243,0
2606:4700:f:fe32:a4a3:e758:8379:eea0,216,282,243,0
2606:4700:311b:d65e:73e6:d23d:a0fb:b12,226,282,244,0
2606:4700:311a:ef7c:ad2:1f1c:2c5:bea7,217,283,245,0
2606:4700:3114:3471:b65b:1c42:d968:ad9f,216,268,250,0
2606:4700:3111:3a47:5bb6:9a32:c763:baf7,223,284,254,0
2a06:98c1:3108:ec57:a1d0:65ea:4b8c:a583,207,258,234,10
2606:4700:440f:2801:9822:e068:1ee:e28a,219,254,236,10
2606:4700:5a:c8ae:edf6:85f1:6bf8:39d7,211,258,236,10
2606:4700:52:c1ef:fef9:1f92:573d:8482,215,259,237,10
2606:4700:3115:6425:20e5:414:6ef4:4289,224,255,238,10
2606:4700:3112:d2d5:a5cb:82f1:b409:1f34,220,270,244,10
