IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.17.163.199,180,247,204,20
104.19.158.153,186,244,205,20
104.17.136.170,179,295,210,20
104.18.164.78,179,275,212,20
104.18.198.254,191,245,213,20
104.16.213.86,188,245,216,20
104.17.167.245,188,245,220,20
104.22.13.202,204,252,220,20
104.17.54.220,204,245,221,20
104.17.140.171,186,252,221,20
104.16.252.251,181,295,221,20
104.17.116.7,181,245,222,20
104.17.104.230,190,250,222,20
104.17.15.71,189,248,222,20
104.16.91.30,187,262,222,20
104.17.216.111,189,260,222,20
104.16.86.240,205,261,223,20
104.17.132.139,191,249,223,20
104.18.142.200,189,245,223,20
104.22.23.183,189,249,224,20
104.16.81.105,203,292,232,20
104.16.78.1,203,293,232,20
104.21.68.195,189,284,233,20
104.17.87.245,207,296,236,20
104.21.67.201,211,289,241,20
104.19.191.35,208,296,242,20
104.18.147.211,175,199,188,30
104.21.45.226,180,195,189,30
104.18.208.131,187,205,196,30
104.18.200.220,187,212,197,30
104.21.41.189,185,237,202,30
104.22.17.239,185,239,202,30
104.18.162.23,181,245,203,30
104.18.233.33,178,242,203,30
104.19.157.133,185,260,204,30
104.17.198.30,187,247,207,30
104.18.209.82,186,268,208,30
104.18.237.243,180,278,211,30
104.16.253.18,188,265,212,30
104.17.141.254,182,264,213,30
104.18.238.70,186,254,213,30
104.16.255.78,185,266,214,30
104.19.147.30,192,265,218,30
104.17.154.100,188,243,219,30
104.17.90.29,179,257,220,30
104.16.17.80,183,275,221,30
104.18.163.82,187,256,221,30
104.22.3.10,187,260,223,30
104.17.88.203,188,267,224,30
104.16.219.119,188,259,225,30
104.17.94.249,187,260,225,30
104.17.93.84,188,290,226,30
104.18.165.230,196,268,227,30
104.18.236.2,171,290,227,30
104.17.92.167,196,268,227,30
104.16.88.146,186,296,228,30
104.16.212.183,200,277,230,30
104.18.90.124,203,290,232,30
104.18.240.213,188,290,235,30
104.17.139.160,185,290,235,30
104.18.131.194,203,272,236,30
104.16.232.44,207,270,237,30
104.16.236.36,190,290,238,30
104.16.204.178,176,201,192,40
104.27.195.24,186,204,193,40
104.18.232.17,182,207,193,40
104.17.108.59,187,217,194,40
104.17.157.180,182,225,195,40
104.16.123.94,187,208,196,40
104.19.215.54,172,219,196,40
104.21.65.172,175,221,196,40
104.18.195.111,190,210,197,40
104.19.146.88,180,230,198,40
104.17.12.109,190,221,199,40
104.16.231.180,182,216,200,40
104.17.152.132,186,211,200,40
104.16.166.201,185,236,202,40
104.17.164.31,180,223,202,40
104.19.159.51,177,261,202,40
104.16.115.130,189,224,203,40
104.19.247.94,189,216,203,40
104.18.239.87,185,240,205,40
104.17.196.83,180,260,205,40
104.18.201.139,181,260,207,40
104.21.42.169,191,230,208,40
104.16.74.119,186,264,210,40
104.17.134.141,190,256,211,40
104.17.83.198,182,278,211,40
104.18.235.199,188,264,211,40
104.17.165.25,182,234,212,40
104.17.138.43,181,265,213,40
104.17.170.161,184,278,213,40
104.17.5.31,190,261,213,40
104.16.229.65,185,278,215,40
104.16.230.9,181,293,220,40
104.18.205.245,204,256,227,40
104.16.220.203,199,268,232,40
104.19.183.80,206,264,233,40
104.17.174.255,207,270,233,40
104.17.182.163,207,270,233,40
104.16.234.61,195,290,239,40
104.17.57.15,176,188,182,50
104.21.66.64,184,204,191,50
104.16.95.191,182,201,192,50
104.18.249.163,181,206,193,50
104.17.156.165,180,226,193,50
104.17.162.113,182,202,194,50
104.17.135.63,178,219,198,50
104.16.85.177,181,243,200,50
104.21.40.241,190,218,200,50
104.19.156.123,188,207,200,50
104.17.202.97,184,223,200,50
104.22.11.103,182,227,200,50
104.17.3.252,189,231,201,50
104.17.200.1,186,215,202,50
172.64.79.84,184,230,202,50
104.17.193.61,187,212,203,50
104.19.148.250,172,229,203,50
104.22.12.122,182,226,204,50
104.17.7.131,189,248,205,50
104.16.216.138,188,220,206,50
104.17.4.127,195,226,208,50
104.17.110.114,196,230,209,50
104.17.197.155,182,247,209,50
104.19.189.195,184,267,209,50
104.17.173.135,188,252,211,50
104.16.248.42,192,259,214,50
104.16.93.229,186,255,214,50
104.21.47.80,186,264,222,50
104.18.234.143,191,264,229,50
104.19.139.220,218,264,232,50
104.21.87.108,211,250,232,50
104.17.213.76,178,197,187,60
104.17.142.255,180,205,190,60
104.21.39.6,184,206,191,60
104.16.197.252,187,197,192,60
190.93.244.64,181,202,192,60
104.16.195.187,187,200,192,60
104.17.166.204,175,208,193,60
104.16.203.231,185,200,194,60
104.17.133.39,184,199,194,60
104.17.63.227,186,211,195,60
104.17.199.165,193,198,196,60
104.17.153.86,174,225,197,60
104.16.117.218,187,204,198,60
104.16.125.177,184,211,198,60
104.16.200.221,184,219,198,60
104.16.201.247,184,227,200,60
104.16.250.36,189,213,200,60
104.17.58.141,196,213,204,60
104.18.211.219,187,248,207,60
104.16.151.44,181,191,185,70
104.16.94.94,169,204,187,70
104.18.140.117,186,188,187,70
104.18.141.182,187,190,188,70
104.18.230.217,183,193,188,70
198.41.219.156,180,193,189,70
104.16.18.95,180,199,191,70
104.17.14.140,184,204,192,70
104.17.215.215,190,196,192,70
104.16.191.154,176,205,192,70
104.17.203.181,186,203,193,70
104.21.38.158,184,202,194,70
104.21.44.88,187,199,195,70
104.17.161.134,183,206,195,70
104.17.214.194,193,200,195,70
104.16.214.119,183,210,199,70
104.16.121.35,186,221,200,70
104.16.251.138,189,211,202,70
104.18.172.202,192,225,207,70
104.17.195.22,174,184,179,80
104.22.26.209,176,187,181,80
104.16.185.207,180,191,186,80
104.18.144.175,177,194,186,80
104.22.20.40,185,188,186,80
104.16.124.130,186,188,187,80
104.17.148.110,183,192,188,80
104.17.137.178,186,190,188,80
104.18.252.110,185,192,188,80
104.17.212.67,182,196,189,80
104.17.192.196,188,192,190,80
104.16.189.208,186,194,190,80
104.17.10.9,181,200,190,80
104.16.19.90,189,196,193,80
104.16.127.221,188,200,194,80
104.19.155.34,190,199,194,80
104.16.112.168,191,198,194,80
104.19.145.232,193,199,196,80
104.17.149.241,193,199,196,80
104.21.37.220,186,206,196,80
104.16.116.130,189,205,197,80
104.17.40.221,197,198,198,80
104.16.198.27,191,205,198,80
104.19.144.122,198,198,198,80
104.16.113.140,196,200,198,80
104.22.29.153,187,210,199,80
104.16.192.87,197,202,199,80
104.16.186.73,199,200,199,80
104.19.154.68,185,224,204,80
104.16.199.235,207,216,211,80
104.19.130.4,214,214,214,80
104.18.197.137,175,175,175,90
104.16.188.129,180,180,180,90
104.17.207.250,183,183,183,90
104.16.196.20,183,183,183,90
104.17.2.253,184,184,184,90
104.16.247.172,184,184,184,90
104.17.39.142,184,184,184,90
104.17.61.249,184,184,184,90
104.17.205.227,185,185,185,90
104.17.146.159,185,185,185,90
104.16.193.131,186,186,186,90
104.21.35.116,186,186,186,90
104.18.231.80,187,187,187,90
104.17.150.158,188,188,188,90
104.21.43.200,189,189,189,90
104.17.60.7,189,189,189,90
104.17.211.28,190,190,190,90
104.21.33.212,190,190,190,90
104.17.143.112,190,190,190,90
104.16.144.145,191,191,191,90
104.17.194.89,191,191,191,90
104.17.107.171,191,191,191,90
104.16.202.30,192,192,192,90
104.16.114.141,193,193,193,90
104.17.76.173,196,196,196,90
104.16.145.157,198,198,198,90
104.17.80.99,198,198,198,90
104.16.148.6,199,199,199,90
104.16.150.242,199,199,199,90
104.16.157.110,200,200,200,90
104.16.194.55,202,202,202,90
104.17.147.126,202,202,202,90
104.17.123.179,202,202,202,90
104.17.45.6,204,204,204,90
104.16.190.230,204,204,204,90
104.17.44.100,205,205,205,90
104.16.245.222,205,205,205,90
104.21.64.238,206,206,206,90
104.16.180.57,206,206,206,90
104.16.118.194,207,207,207,90
104.17.209.72,207,207,207,90
104.22.25.44,207,207,207,90
104.16.206.28,209,209,209,90
104.16.209.53,211,211,211,90
104.22.27.225,213,213,213,90
104.17.208.150,214,214,214,90
104.17.55.224,218,218,218,90
